bar_index,timestamp,symbol,old_allocation,new_allocation,shares_delta,fill_price,slippage_cost,regime,regime_probability,strategy
644,2023-05-26 00:00:00-04:00,SPY,0.6,0.95,99,421.060425,20.832075,NEUTRAL,0.9999999999915818,MidVolCautiousStrategy
643,2023-05-25 00:00:00-04:00,SPY,0.95,0.6,-99,417.0084,20.631600000000002,NEUTRAL,0.9999999999999936,MidVolCautiousStrategy
644,2023-05-26 00:00:00-04:00,SPY,0.6,0.95,98,421.060425,20.621650000000002,NEUTRAL,0.9999999999999972,MidVolCautiousStrategy
708,2023-08-24 00:00:00-04:00,SPY,0.95,0.6,-82,435.09743999999995,17.83008,NEUTRAL,1.0,MidVolCautiousStrategy
709,2023-08-25 00:00:00-04:00,QQQ,0.95,0.6,-115,367.76379,21.135849999999998,NEUTRAL,1.0,MidVolCautiousStrategy
711,2023-08-29 00:00:00-04:00,QQQ,0.6,0.95,122,370.94537999999994,22.61636,NEUTRAL,1.0,MidVolCautiousStrategy
712,2023-08-30 00:00:00-04:00,SPY,0.6,0.95,100,441.66071999999997,22.072,NEUTRAL,0.9999999999999994,MidVolCautiousStrategy
715,2023-09-04 00:00:00-04:00,SPY,0.95,0.6,-111,435.40759499999996,24.153045,NEUTRAL,0.999999999977076,MidVolCautiousStrategy
715,2023-09-04 00:00:00-04:00,QQQ,0.95,0.6,-124,361.350585,22.39254,NEUTRAL,0.999999999977076,MidVolCautiousStrategy
727,2023-09-20 00:00:00-04:00,SPY,0.6,0.95,101,444.972375,22.459875,NEUTRAL,1.0,MidVolCautiousStrategy
727,2023-09-20 00:00:00-04:00,QQQ,0.6,0.95,123,368.06394,22.62462,NEUTRAL,1.0,MidVolCautiousStrategy
744,2023-10-13 00:00:00-04:00,SPY,0.95,1.1875,93,469.55465999999996,21.82338,BEAR,0.9998839884793794,LowVolBullStrategy
744,2023-10-13 00:00:00-04:00,QQQ,0.95,1.1875,100,399.35958,19.958000000000002,BEAR,0.9998839884793794,LowVolBullStrategy
694,2023-08-04 00:00:00-04:00,SPY,1.1875,0.45,-235,452.35606499999994,53.125275,BULL,1.0,HighVolDefensiveStrategy
694,2023-08-04 00:00:00-04:00,QQQ,1.1875,0.45,-275,380.70025499999997,52.320125000000004,BULL,1.0,HighVolDefensiveStrategy
705,2023-08-21 00:00:00-04:00,SPY,0.45,1.1875,214,444.84231,47.57434000000001,NEUTRAL,0.9999999991293602,LowVolBullStrategy
705,2023-08-21 00:00:00-04:00,QQQ,0.45,1.1875,253,375.917865,47.529845,NEUTRAL,0.9999999991293602,LowVolBullStrategy
717,2023-09-06 00:00:00-04:00,SPY,1.1875,0.45,-222,431.19549,47.83878,BULL,0.9999999999983431,HighVolDefensiveStrategy
717,2023-09-06 00:00:00-04:00,QQQ,1.1875,0.45,-261,358.7793,46.79730000000001,BULL,0.9999999999983431,HighVolDefensiveStrategy
730,2023-09-25 00:00:00-04:00,SPY,0.45,1.1875,199,451.35556499999996,44.887434999999996,NEUTRAL,1.0,LowVolBullStrategy
730,2023-09-25 00:00:00-04:00,QQQ,0.45,1.1875,239,376.12797,44.92483,NEUTRAL,1.0,LowVolBullStrategy
759,2023-11-03 00:00:00-04:00,SPY,1.1875,0.45,-189,462.231,43.659,BEAR,0.9999999960728454,HighVolDefensiveStrategy
759,2023-11-03 00:00:00-04:00,QQQ,1.1875,0.45,-232,398.93937,46.253840000000004,BEAR,0.9999999960728454,HighVolDefensiveStrategy
769,2023-11-17 00:00:00-05:00,SPY,0.45,0.95,143,463.32154499999996,33.110935,EUPHORIA,1.0,MidVolCautiousStrategy
769,2023-11-17 00:00:00-05:00,QQQ,0.45,0.95,176,387.49365,34.0824,EUPHORIA,1.0,MidVolCautiousStrategy
772,2023-11-22 00:00:00-05:00,QQQ,0.95,0.6,-120,383.50165499999997,22.9986,EUPHORIA,1.0,MidVolCautiousStrategy
774,2023-11-24 00:00:00-05:00,SPY,0.95,0.6,-106,458.83930499999997,24.306330000000003,EUPHORIA,1.0,MidVolCautiousStrategy
775,2023-11-27 00:00:00-05:00,SPY,0.6,0.95,103,463.021395,23.833685000000003,EUPHORIA,1.0,MidVolCautiousStrategy
775,2023-11-27 00:00:00-05:00,QQQ,0.6,0.95,114,389.10445500000003,22.167870000000004,EUPHORIA,1.0,MidVolCautiousStrategy
781,2023-12-05 00:00:00-05:00,SPY,0.95,0.45,-140,478.16896499999996,33.4551,BULL,0.9999999999886052,HighVolDefensiveStrategy
781,2023-12-05 00:00:00-05:00,QQQ,0.95,0.45,-166,401.53066499999994,33.31039,BULL,0.9999999999886052,HighVolDefensiveStrategy
797,2023-12-27 00:00:00-05:00,QQQ,0.45,0.2,-84,359.649735,15.097740000000002,BULL,1.0,HighVolDefensiveStrategy
798,2023-12-28 00:00:00-05:00,SPY,0.45,0.2,-72,432.24601499999994,15.553079999999998,BULL,1.0,HighVolDefensiveStrategy
804,2024-01-05 00:00:00-05:00,SPY,0.2,0.45,69,450.90533999999997,15.54846,BULL,1.0,HighVolDefensiveStrategy
805,2024-01-08 00:00:00-05:00,QQQ,0.2,0.45,85,369.94487999999996,15.7148,BULL,1.0,HighVolDefensiveStrategy
807,2024-01-10 00:00:00-05:00,QQQ,0.45,0.2,-86,354.25703999999996,15.225439999999999,BULL,1.0,HighVolDefensiveStrategy
811,2024-01-16 00:00:00-05:00,QQQ,0.2,0.45,90,359.69975999999997,16.1784,BULL,0.9999999999994414,HighVolDefensiveStrategy
812,2024-01-17 00:00:00-05:00,QQQ,0.45,0.2,-91,358.609215,16.308565,BULL,0.9999996186567988,HighVolDefensiveStrategy
813,2024-01-18 00:00:00-05:00,SPY,0.45,0.2,-72,440.13996,15.83712,BULL,0.9999999999994467,HighVolDefensiveStrategy
757,2023-11-01 00:00:00-04:00,SPY,0.2,0.45,70,462.57116999999994,16.1819,BEAR,0.9999999999847363,HighVolDefensiveStrategy
757,2023-11-01 00:00:00-04:00,QQQ,0.2,0.45,77,396.30805499999997,15.250235000000002,BEAR,0.9999999999847363,HighVolDefensiveStrategy
764,2023-11-10 00:00:00-05:00,SPY,0.45,0.225,-65,464.642205,15.093325000000002,BEAR,0.5359141230787313,HighVolDefensiveStrategy
764,2023-11-10 00:00:00-05:00,QQQ,0.45,0.225,-74,393.22651499999995,14.54211,BEAR,0.5359141230787313,HighVolDefensiveStrategy
765,2023-11-13 00:00:00-05:00,SPY,0.225,0.45,63,468.93434999999994,14.76405,BEAR,0.9989546145864454,HighVolDefensiveStrategy
765,2023-11-13 00:00:00-05:00,QQQ,0.225,0.45,73,398.369085,14.533205,BEAR,0.9989546145864454,HighVolDefensiveStrategy
766,2023-11-14 00:00:00-05:00,SPY,0.45,1.1875,206,468.38407499999994,48.219449999999995,CRASH,0.9999417314176015,LowVolBullStrategy
766,2023-11-14 00:00:00-05:00,QQQ,0.45,1.1875,242,398.549175,48.20035000000001,CRASH,0.9999417314176015,LowVolBullStrategy
769,2023-11-17 00:00:00-05:00,SPY,1.1875,0.95,-70,463.32154499999996,16.20815,EUPHORIA,1.0,MidVolCautiousStrategy
769,2023-11-17 00:00:00-05:00,QQQ,1.1875,0.95,-77,387.49365,14.911050000000001,EUPHORIA,1.0,MidVolCautiousStrategy
772,2023-11-22 00:00:00-05:00,QQQ,0.95,0.6,-116,383.50165499999997,22.23198,EUPHORIA,1.0,MidVolCautiousStrategy
774,2023-11-24 00:00:00-05:00,SPY,0.95,0.6,-103,458.83930499999997,23.618415000000002,EUPHORIA,1.0,MidVolCautiousStrategy
775,2023-11-27 00:00:00-05:00,SPY,0.6,0.95,96,463.021395,22.21392,EUPHORIA,1.0,MidVolCautiousStrategy
775,2023-11-27 00:00:00-05:00,QQQ,0.6,0.95,106,389.10445500000003,20.61223,EUPHORIA,1.0,MidVolCautiousStrategy
786,2023-12-12 00:00:00-05:00,QQQ,0.95,0.6,-108,382.61120999999997,20.65068,EUPHORIA,0.9999999827248574,MidVolCautiousStrategy
792,2023-12-20 00:00:00-05:00,SPY,0.95,0.6,-96,461.420595,22.13712,BULL,1.0,MidVolCautiousStrategy
846,2024-03-05 00:00:00-05:00,SPY,0.6,0.95,87,458.11894499999994,19.918215,BULL,0.9999999999998418,MidVolCautiousStrategy
846,2024-03-05 00:00:00-05:00,QQQ,0.6,0.95,111,367.42361999999997,20.38182,BULL,0.9999999999998418,MidVolCautiousStrategy
820,2024-01-29 00:00:00-05:00,SPY,0.95,0.2,-197,432.87633,42.61701,BULL,0.9999999997536974,HighVolDefensiveStrategy
820,2024-01-29 00:00:00-05:00,QQQ,0.95,0.2,-245,341.49066,41.811699999999995,BULL,0.9999999997536974,HighVolDefensiveStrategy
827,2024-02-07 00:00:00-05:00,SPY,0.2,0.6,97,431.965875,20.939875,NEUTRAL,0.999987360185839,MidVolCautiousStrategy
827,2024-02-07 00:00:00-05:00,QQQ,0.2,0.6,124,340.00991999999997,21.070079999999997,NEUTRAL,0.999987360185839,MidVolCautiousStrategy
837,2024-02-21 00:00:00-05:00,SPY,0.6,0.95,85,438.219,18.615000000000002,NEUTRAL,0.9999999999979193,MidVolCautiousStrategy
838,2024-02-22 00:00:00-05:00,QQQ,0.6,0.95,109,350.3751,19.0859,NEUTRAL,0.999999999999988,MidVolCautiousStrategy
839,2024-02-23 00:00:00-05:00,QQQ,0.95,0.6,-108,350.765295,18.931859999999997,NEUTRAL,0.9999999997783942,MidVolCautiousStrategy
840,2024-02-26 00:00:00-05:00,QQQ,0.6,0.95,111,354.187005,19.647555,NEUTRAL,0.9999976260190121,MidVolCautiousStrategy
850,2024-03-11 00:00:00-04:00,SPY,0.95,0.45,-117,447.11344499999996,26.143065,BULL,0.9998002251053116,HighVolDefensiveStrategy
850,2024-03-11 00:00:00-04:00,QQQ,0.95,0.45,-154,355.82782499999996,27.38505,BULL,0.9998002251053116,HighVolDefensiveStrategy
851,2024-03-12 00:00:00-04:00,QQQ,0.45,0.2,-80,352.41612,14.0896,BULL,0.9999999999320632,HighVolDefensiveStrategy
854,2024-03-15 00:00:00-04:00,SPY,0.45,0.2,-64,443.30153999999993,14.17856,BULL,0.9999988206078578,HighVolDefensiveStrategy
856,2024-03-19 00:00:00-04:00,SPY,0.2,0.45,61,443.771775,13.528275,BULL,1.0,HighVolDefensiveStrategy
857,2024-03-20 00:00:00-04:00,SPY,0.45,0.2,-61,443.771775,13.528275,BULL,0.9479935919391163,HighVolDefensiveStrategy
860,2024-03-25 00:00:00-04:00,SPY,0.2,0.45,61,447.14346,13.631060000000002,BULL,1.0,HighVolDefensiveStrategy
862,2024-03-27 00:00:00-04:00,SPY,0.45,0.2,-61,437.128455,13.325755000000001,BULL,1.0,HighVolDefensiveStrategy
944,2024-07-19 00:00:00-04:00,SPY,0.2,0.45,63,427.943865,13.473495000000002,BULL,1.0,HighVolDefensiveStrategy
944,2024-07-19 00:00:00-04:00,QQQ,0.2,0.45,82,332.2210275,13.614255000000002,BULL,1.0,HighVolDefensiveStrategy
883,2024-04-25 00:00:00-04:00,SPY,0.45,0.2,-63,393.026415,12.374144999999999,CRASH,1.0,HighVolDefensiveStrategy
883,2024-04-25 00:00:00-04:00,QQQ,0.45,0.2,-78,289.89487499999996,11.30025,CRASH,1.0,HighVolDefensiveStrategy
897,2024-05-15 00:00:00-04:00,SPY,0.2,0.6,99,395.07743999999997,19.546560000000003,BEAR,1.0,MidVolCautiousStrategy
897,2024-05-15 00:00:00-04:00,QQQ,0.2,0.6,133,293.79682499999996,19.527725,BEAR,1.0,MidVolCautiousStrategy
925,2024-06-24 00:00:00-04:00,QQQ,0.6,0.95,110,298.879365,16.43015,BEAR,0.9999999639337653,MidVolCautiousStrategy
926,2024-06-25 00:00:00-04:00,SPY,0.6,0.95,91,394.35708,17.93428,BEAR,0.999999534759527,MidVolCautiousStrategy
930,2024-07-01 00:00:00-04:00,SPY,0.95,0.6,-94,394.55718,18.534920000000003,BEAR,0.9999999996586585,MidVolCautiousStrategy
930,2024-07-01 00:00:00-04:00,QQQ,0.95,0.6,-117,299.18952,17.493840000000002,BEAR,0.9999999996586585,MidVolCautiousStrategy
931,2024-07-02 00:00:00-04:00,SPY,0.6,0.95,92,402.090945,18.48694,BEAR,0.9992481145459343,MidVolCautiousStrategy
931,2024-07-02 00:00:00-04:00,QQQ,0.6,0.95,118,306.74329499999993,18.08881,BEAR,0.9992481145459343,MidVolCautiousStrategy
934,2024-07-05 00:00:00-04:00,SPY,0.95,0.475,-115,409.32455999999996,23.524400000000004,BEAR,0.5406578705000928,MidVolCautiousStrategy
934,2024-07-05 00:00:00-04:00,QQQ,0.95,0.475,-150,313.07646,23.469,BEAR,0.5406578705000928,MidVolCautiousStrategy
935,2024-07-08 00:00:00-04:00,SPY,0.475,0.95,119,410.50515,24.412850000000002,BEAR,0.9999622282205446,MidVolCautiousStrategy
935,2024-07-08 00:00:00-04:00,QQQ,0.475,0.95,152,316.208025,24.0198,BEAR,0.9999622282205446,MidVolCautiousStrategy
937,2024-07-10 00:00:00-04:00,SPY,0.95,0.2,-188,409.86483,38.50804,NEUTRAL,0.999999999919608,HighVolDefensiveStrategy
937,2024-07-10 00:00:00-04:00,QQQ,0.95,0.2,-244,319.34959499999997,38.94118,NEUTRAL,0.999999999919608,HighVolDefensiveStrategy
941,2024-07-16 00:00:00-04:00,SPY,0.2,0.45,60,423.20149499999997,12.6897,NEUTRAL,0.999999999999674,HighVolDefensiveStrategy
943,2024-07-18 00:00:00-04:00,QQQ,0.2,0.45,79,329.58471,13.01209,NEUTRAL,0.9999998474804143,HighVolDefensiveStrategy
946,2024-07-23 00:00:00-04:00,SPY,0.45,0.225,-56,427.07343,11.95208,NEUTRAL,0.48928347231983327,HighVolDefensiveStrategy
946,2024-07-23 00:00:00-04:00,QQQ,0.45,0.225,-73,328.60422,11.988059999999999,NEUTRAL,0.48928347231983327,HighVolDefensiveStrategy
947,2024-07-24 00:00:00-04:00,SPY,0.225,0.45,57,425.19249,12.111930000000001,NEUTRAL,0.8706886554902111,HighVolDefensiveStrategy
947,2024-07-24 00:00:00-04:00,QQQ,0.225,0.45,74,326.333085,12.068290000000001,NEUTRAL,0.8706886554902111,HighVolDefensiveStrategy
948,2024-07-25 00:00:00-04:00,QQQ,0.45,0.2,-81,318.65925,12.89925,NEUTRAL,1.0,HighVolDefensiveStrategy
949,2024-07-26 00:00:00-04:00,SPY,0.45,0.2,-63,413.10644999999994,13.00635,NEUTRAL,1.0,HighVolDefensiveStrategy
952,2024-07-31 00:00:00-04:00,SPY,0.2,0.45,62,419.59969499999994,13.00109,CRASH,1.0,HighVolDefensiveStrategy
953,2024-08-01 00:00:00-04:00,SPY,0.45,0.2,-62,402.4011,12.4682,CRASH,1.0,HighVolDefensiveStrategy
967,2024-08-21 00:00:00-04:00,SPY,0.2,0.6,106,384.33207,20.35942,BEAR,1.0,MidVolCautiousStrategy
967,2024-08-21 00:00:00-04:00,QQQ,0.2,0.6,142,287.86386,20.428120000000003,BEAR,1.0,MidVolCautiousStrategy
981,2024-09-10 00:00:00-04:00,SPY,0.6,0.2,-105,375.80780999999996,19.72005,CRASH,1.0,HighVolDefensiveStrategy
981,2024-09-10 00:00:00-04:00,QQQ,0.6,0.2,-139,281.10047999999995,19.526719999999997,CRASH,1.0,HighVolDefensiveStrategy
946,2024-07-23 00:00:00-04:00,SPY,0.2,0.45,57,427.07343,12.165510000000001,CRASH,0.9984670942343421,HighVolDefensiveStrategy
946,2024-07-23 00:00:00-04:00,QQQ,0.2,0.45,71,328.60422,11.65962,CRASH,0.9984670942343421,HighVolDefensiveStrategy
948,2024-07-25 00:00:00-04:00,QQQ,0.45,0.2,-77,318.65925,12.26225,CRASH,0.9999999939763627,HighVolDefensiveStrategy
949,2024-07-26 00:00:00-04:00,SPY,0.45,0.2,-60,413.10644999999994,12.387,CRASH,0.9978902289271915,HighVolDefensiveStrategy
952,2024-07-31 00:00:00-04:00,SPY,0.2,1.1875,235,419.59969499999994,49.278324999999995,BEAR,0.9997885456667982,LowVolBullStrategy
952,2024-07-31 00:00:00-04:00,QQQ,0.2,1.1875,308,320.44013999999993,49.323119999999996,BEAR,0.9997885456667982,LowVolBullStrategy
1009,2024-10-18 00:00:00-04:00,SPY,1.1875,0.2,-243,401.35057499999994,48.739725,WEAK_BEAR,0.9999999999969138,HighVolDefensiveStrategy
1009,2024-10-18 00:00:00-04:00,QQQ,1.1875,0.2,-317,292.35610499999996,46.315284999999996,WEAK_BEAR,0.9999999999969138,HighVolDefensiveStrategy
1016,2024-10-29 00:00:00-04:00,SPY,0.2,0.45,55,399.749775,10.987625,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1019,2024-11-01 00:00:00-04:00,SPY,0.45,0.2,-53,396.248025,10.495325000000001,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1021,2024-11-05 00:00:00-05:00,SPY,0.2,0.45,51,408.974385,10.423635,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1024,2024-11-08 00:00:00-05:00,SPY,0.45,0.2,-52,399.61971,10.384920000000001,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1030,2024-11-18 00:00:00-05:00,SPY,0.2,0.45,52,401.810805,10.44186,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1031,2024-11-19 00:00:00-05:00,SPY,0.45,0.2,-51,394.49715,10.05465,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1041,2024-12-03 00:00:00-05:00,SPY,0.2,1.1875,210,379.81981499999995,39.86115,WEAK_BULL,0.9999999999999072,LowVolBullStrategy
1041,2024-12-03 00:00:00-05:00,QQQ,0.2,1.1875,311,263.09148,40.89028,WEAK_BULL,0.9999999999999072,LowVolBullStrategy
1045,2024-12-09 00:00:00-05:00,SPY,1.1875,0.2,-210,383.37158999999997,40.233900000000006,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1045,2024-12-09 00:00:00-05:00,QQQ,1.1875,0.2,-304,266.77331999999996,40.52928,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1053,2024-12-19 00:00:00-05:00,SPY,0.2,0.45,55,393.81681,10.82455,WEAK_BEAR,1.0,HighVolDefensiveStrategy
1056,2024-12-24 00:00:00-05:00,SPY,0.45,0.2,-54,389.55468,10.512720000000002,WEAK_BEAR,0.9998824180747693,HighVolDefensiveStrategy
1059,2024-12-27 00:00:00-05:00,SPY,0.2,0.45,53,399.07944,10.57032,WEAK_BEAR,0.999999999999687,HighVolDefensiveStrategy
